file_name,PAI_tree_only,slices_occupied,crown_height_m,elapsed_s,tag,PAI_combined,sbpltnm,Species,DBH,Quadrant,subqu,Lianas,Illumination,Nota,infest_cat,infest_bin,dbh_cm,log_dbh
ADELIA_2862,4.38542514345331,250,12.6,0.554788112640381,2862,9.37908315565032,65,Adelia triloba,328,3311,13,90,10,sub correcte: 1,Heavy,Infested,32.8,3.490428515390098
ALCHCO_1840,10.8405894582365,367,18.45,3.85836791992188,1840,16.6242277992278,74,Alchornea costaricensis,280,3811,43,10,10,NA,Light,Infested,28,3.332204510175204
ALCHCO_5883,2.18421176470588,223,11.4,0.181960105895996,5883,5.9547385620915,28,Alchornea costaricensis,212,1505,44,100,50,NA,Heavy,Infested,21.2,3.054001181677967
ALCHCO_5883,2.18421176470588,223,11.4,0.181960105895996,5883,5.9547385620915,28,Alchornea costaricensis,275,1505,44,100,0,NA,Heavy,Infested,27.5,3.3141860046725258
ALCHCO_87710,7.3062678469446,205,10.25,0.451813936233521,87710,10.5398001508296,68,Alchornea costaricensis,316,3415,33,5,5,NA,Light,Infested,31.6,3.4531571205928664
ALCHCO_87714,8.896003470214,305,15.25,0.525607109069824,87714,16.2385572139303,68,Alchornea costaricensis,406,3415,33,5,100,NA,Light,Infested,40.6,3.703768066607687
ALCHCO_87943,3.8928916827853,225,11.3,0.723721027374268,87943,10.8403610573823,69,Alchornea costaricensis,429,3416,41,5,100,NA,Light,Infested,42.9,3.758871825933971
ALCHCO_87943,3.8928916827853,225,11.3,0.723721027374268,87943,10.8403610573823,69,Alchornea costaricensis,320,3416,41,25,100,NA,Light,Infested,32,3.4657359027997265
ALCHCO_93079,5.30628475270705,205,10.25,0.254595041275024,93079,9.68109452736318,68,Alchornea costaricensis,213,3315,12,0,5,NA,None,None,21.3,3.0587070727153796
ALLOPH_146653,4.2375566893424,66,3.3,0.0632889270782471,146653,1.232,51,Allophylus psilospermus,223,2309,21,80,10,NA,Heavy,Infested,22.3,3.104586678466073
ALSEBL_104704,2.45321285140562,131,6.55,0.101011037826538,104704,5.24117647058824,64,Alseis blackiana,204,3123,42,100,100,NA,Heavy,Infested,20.4,3.0155349008501706
ALSEBL_104741,4.24708363570392,367,18.4,0.766194105148315,104741,9.8814162473041,64,Alseis blackiana,287,3124,12,25,20,NA,Light,Infested,28.7,3.3568971227655755
ALSEBL_104870,3.06009216589862,249,12.45,0.296519041061401,104870,7.8992673992674,64,Alseis blackiana,307,3124,43,100,70,NA,Heavy,Infested,30.7,3.4242626545931514
ALSEBL_1082,3.9391997961264,353,17.65,0.76513409614563,1082,5.35277268093782,82,Alseis blackiana,467,4314,22,0,100,sub correcte: 1,None,None,46.7,3.8437441646748516
ALSEBL_115787,3.81431270043492,293,14.65,0.537362098693848,115787,6.55102772675588,58,Alseis blackiana,284,2805,14,0,5,NA,None,None,28.4,3.3463891451671604
ALSEBL_1283,4.9977536392522,347,17.35,1.63332295417786,1283,8.37056071323313,82,Alseis blackiana,712,4215,12,0,25,NA,None,None,71.2,4.26549281841793
ALSEBL_1718,3.17938800489596,323,16.15,0.486504793167114,1718,5.78902536715621,77,Alseis blackiana,420,4020,42,0,5,NA,None,None,42,3.7376696182833684
ALSEBL_1775,4.51438437723268,279,13.95,0.615495204925537,1775,9.53539115646259,77,Alseis blackiana,396,3921,24,0,60,NA,None,None,39.6,3.6788291182604347
ALSEBL_181579,4.90322962962963,175,8.9,0.220573902130127,181579,9.10478524743231,31,Alseis blackiana,200,1608,12,100,50,NA,Heavy,Infested,20,2.995732273553991
ALSEBL_181662,1.13022980336413,188,9.4,0.106441020965576,181662,3.81663602941176,31,Alseis blackiana,278,1608,32,100,50,NA,Heavy,Infested,27.8,3.3250360206965914
ALSEBL_185884,6.50050251256281,370,18.5,1.13287496566772,185884,12.5147647058824,28,Alseis blackiana,311,1504,12,0,5,NA,None,None,31.1,3.4372078191851885
ALSEBL_191977,7.25160396173478,327,16.35,0.617678165435791,191977,12.4521435228332,24,Alseis blackiana,368,1410,44,0,100,NA,None,None,36.8,3.6054978451748854
ALSEBL_192141,3.95938604651163,212,10.65,0.228757858276367,192141,7.63042735042735,24,Alseis blackiana,203,1411,33,10,5,NA,Light,Infested,20.3,3.0106208860477417
ALSEBL_1989,5.96399606437557,389,19.5,0.84432315826416,1989,12.364948172395,74,Alseis blackiana,352,3811,33,5,50,NA,Light,Infested,35.2,3.5610460826040513
ALSEBL_211432,4.59145732255166,378,18.9,0.440629959106445,211432,10.4234375,19,Alseis blackiana,218,1008,14,0,5,NA,None,None,21.8,3.0819099697950434
ALSEBL_213039,5.89344852591833,146,7.35,0.49301815032959,213039,8.64161220043573,20,Alseis blackiana,315,1015,33,100,100,NA,Heavy,Infested,31.5,3.449987545831587
ALSEBL_2171,4.46364684186261,329,16.45,0.809499979019165,2171,8.03560606060606,74,Alseis blackiana,395,3711,22,5,5,NA,Light,Infested,39.5,3.676300671907076
ALSEBL_2177,3.31676038454562,181,9.05,0.230705976486206,2177,6.90737125070741,74,Alseis blackiana,295,3710,32,65,5,NA,Heavy,Infested,29.5,3.3843902633457743
ALSEBL_2326,3.30519330855019,296,14.8,0.717688083648682,2326,7.88805925925926,72,Alseis blackiana,592,3612,11,0,100,NA,None,None,59.2,4.0809215418899605
