filename,dbh,residual_dbh,fdbh,dab,residual_dab,fdab,buttress_h,height,pa,crown_vol,crown_depth,fname_noext,tag.x,tag6,tag.y,dbh_2019,species_code,species,priority,lianas_2011,lianas_2012,lianas_2013,lianas_2014,lianas_2015,lianas_2016,lianas_2017,lianas_2018,lianas_2019,lianas_2020,lianas_2021,lianas_2022,lianas_2023,lianas_2024,recorded_years,infested_years,first_inf,last_inf,H1_category,calc.dbh,dendroDiam,dendroHt,paintDiam,paintHt,crown,illumination,stemdead,DendroID,measure,date,fid,sbpltnm,quadrnt,lianas_2019_field,notes_2019,notes_2025,liana_tag_1,liana_tag_2,liana_tag_3,liana_tag_4,liana_tag_5,infestation_type,mode_l1,mode_l2,mode_l3,mode_l4,mode_l5,five_plus,x,y,priority_field,px,py,fid_tls,quadrnt_tls,dist,angle,x_tls,y_tls,x_aligned,y_aligned,dbh_cm,crown_base_h,log_dbh,log_depth,log_area,log_vol,log_height,slenderness,log_slender,cbh_ratio,log_cbh
ALBLAC_1082.txt,0.536428242783297,0.00466098244369946,NA,0.429256351015683,2.142693469146e-4,NA,5.32,33.156,61.3245975000001,388.451059198,17.585,ALBLAC_1082,1082,001082,1082,480.10021260273936,ALSEBL,Alseis blackiana,high,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2011;2012;2013;2014;2015;2016;2017;2018;2019,2011;2012,2011,2012,Lost lianas,483.62579283381694,NA,3.9,NA,4,4,4,alive,1436,108.72,2024-12-12,677,82,4314,0,sub correcte: 1,NA,NA,NA,NA,NA,NA,Direct,adhesive_roots,NA,NA,NA,NA,NA,-79.8473804978731,9.15357424641487,completed,860.6,285.9,677,4314,906.846828301,0.28827651536,-79.8473804978731,9.15357424641487,-23.22892786581326,24.76430469528748,48.01002126027394,15.570999999999998,3.8714097653728685,2.867046265925946,4.11618102673125,5.962167188122021,3.50122369572928,0.6906058179031687,-0.3701860696435886,0.46962842321148507,-0.7558134858699922
ALBLAC_1283.txt,0.634318498738705,0.00247869889246264,NA,0.617814587442358,0.00131139056571416,NA,6.52,29.83,175.832142499999,1129.43777454217,17.309,ALBLAC_1283,1283,001283,1283,711.6642967027257,ALSEBL,Alseis blackiana,high,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2011;2012;2013;2014;2015;2016;2017;2018;2019,2012;2013;2014,2012,2014,Lost lianas,719.3045935828991,NA,3.8,NA,3.7,3,3,alive,3149,114.77,2024-12-12,678,82,4215,0,NA,NA,NA,NA,NA,NA,NA,Direct,adhesive_roots,scrambling,NA,NA,NA,NA,-79.8475459558704,9.15375928233463,completed,841.7,305.7,678,4215,895.495047446,0.315917062217,-79.8475459558704,9.15375928233463,-37.56197005271184,2.163569665090222,71.16642967027256,12.520999999999997,4.26502121383492,2.8512265974442617,5.1695298041473245,7.0294752432370275,3.395514598526657,0.4191583045293686,-0.8695066153082629,0.4197452229299362,-0.8681073638398468
ALBLAC_1718.txt,0.408107089767365,8.8187028475382e-4,NA,0.405705560695346,5.0683437938859e-4,NA,3.34,29.196,59.5666490000001,308.587872098,16.105,ALBLAC_1718,1718,001718,1718,433.8444546122969,ALSEBL,Alseis blackiana,high,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,2016;2017;2018;2019,2018,2018,2018,Lost lianas,459.9074371737126,NA,3.1,NA,3,4,4,alive,232723,152.02,2024-12-12,676,77,4020,0,NA,NA,NA,NA,NA,NA,NA,Direct,scrambling,NA,NA,NA,NA,NA,-79.8477211192659,9.1546884886659,completed,818.8,407.7,676,4020,914.687230697,0.42952248671,-79.8477211192659,9.1546884886659,-5.431056562392541,19.634445843017893,43.38444546122969,13.091000000000001,3.770100977355068,2.779129782783162,4.087095836910772,5.732006639409559,3.374031713589386,0.6729600825736236,-0.3960692637656823,0.44838334018358683,-0.8021067423914238
ALBLAC_2326.txt,0.579683660056752,0.00186217569986608,NA,0.564438720250963,4.987624226506e-4,NA,5.32,28.015,96.845448,584.312553518833,14.714,ALBLAC_2326,2326,002326,2326,604.7838817475385,ALSEBL,Alseis blackiana,high,0,1,1,1,1,0,0,1,1,0,1,2,1,4,2011;2012;2013;2014;2015;2016;2017;2018;2019,2012;2013;2014;2015;2018;2019,2012,2018,Persistently infested,619.3299018025054,NA,3.1,NA,3,4,5,alive,4062,162.13,2024-12-05,673,72,3612,0,NA,NA,NA,NA,NA,NA,NA,Lateral,NA,NA,NA,NA,NA,NA,-79.848664728505,9.15323610095579,completed,720.9,243.5,673,3612,760.913306494,0.29327745052,-79.848664728505,9.15323610095579,-27.592280858292497,47.874784268957995,60.47838817475385,13.301,4.10228608096644,2.6887994215100726,4.573116388232184,6.370436034044356,3.332740081017248,0.46322332399219934,-0.7695459999491926,0.4747813671247546,-0.7449008606460886
ALBLAC_2467.txt,0.421661024501379,0.00140520657177743,NA,0.438359072944832,0.00102378072455917,NA,6.28,28.682,108.8234015,693.078935853833,17.401,ALBLAC_2467,2467,002467,2467,527.7490727466145,ALSEBL,Alseis blackiana,high,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2011;2012;2013;2014;2015;2016;2017;2018;2019,2013,2013,2013,Lost lianas,541.2217609366282,NA,3.5,NA,3.4,4,4,alive,1205,113.51,2024-12-06,671,69,3517,0,NA,Crown appears on infested. One Liana using adhesive roots to climb partially up trunk.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8486922106645,9.15417002505129,completed,714.2,346.6,671,3517,793.859685335,0.419354399042,-79.8486922106645,9.15417002505129,-46.718850871265886,-29.742791151320517,52.77490727466145,11.280999999999999,3.966035836739216,2.8565276758334415,4.689726398610058,6.5411438972542575,3.3562697483070205,0.5434779799939305,-0.6097660884321956,0.39331287915765983,-0.9331498536842373
ALBLAC_2470.txt,0.359659401527882,6.0818758680314e-4,NA,0.324776747449613,2.2840206912323e-4,NA,5.44,24.504,43.8482039999995,204.622129363667,15.313,ALBLAC_2470,2470,002470,2470,379.5259250424849,ALSEBL,Alseis blackiana,high,4,4,4,0,3,3,2,1,1,1,2,2,2,3,2011;2012;2013;2014;2015;2016;2017;2018;2019,2011;2012;2013;2015;2016;2017;2018;2019,2011,2018,Persistently infested,388.7132126043951,NA,3.8,NA,3.7,4,3,alive,1200,67.23,2024-12-06,421,69,3516,55,NA,NA,01350664,NA,NA,NA,NA,Both,tendrils,adhesive_roots,adhesive_roots,adhesive_roots,adhesive_roots,NA,-79.848756322528,9.1541089548891,completed,707.4,339.6,421,3516,784.692882598,0.415112345709,-79.848756322528,9.1541089548891,-40.14002222819852,-24.148673841266913,37.95259250424849,9.191,3.636337815190803,2.7287021408330707,3.780733760168668,5.321165006826454,3.1988363695304742,0.6456475930401058,-0.4375014456603287,0.37508161932745676,-0.9806116251545016
ALBLAC_2681.txt,0.460343512694804,0.00151308572390147,NA,0.484364440000233,0.001240257811865,NA,3.34,22.077,112.1261115,552.030274360833,17.986,ALBLAC_2681,2681,002681,2681,513.1735229423556,ALSEBL,Alseis blackiana,high,2,2,1,1,2,3,2,3,3,2,2,2,3,2,2011;2012;2013;2014;2015;2016;2017;2018;2019,2011;2012;2013;2014;2015;2016;2017;2018;2019,2011,2018,Persistently infested,515.6054884421605,NA,2.7,NA,2.6,4,4,alive,232627,110.89,2024-12-05,379,68,3414,25,NA,NA,NA,NA,NA,NA,NA,Lateral,NA,NA,NA,NA,NA,NA,-79.8489421246715,9.15375267777482,completed,688.4,299.5,379,3414,750.729518535,0.377903567734,-79.8489421246715,9.15375267777482,-30.74237795353872,-21.939911109192835,51.31735229423556,4.091000000000001,3.938028946332254,2.8895936774923237,4.719624233373304,6.3136028896297525,3.094536342612572,0.4302053596494668,-0.8434926037196825,0.18530597454364273,-1.68574690366531
ALBLAC_3120.txt,0.366757040573441,0.00112435483248765,NA,0.375159710843654,1.8029942653071e-4,NA,2.86,23.251,64.3977299999999,178.773803905333,12.64,ALBLAC_3120,3120,003120,3120,384.43704710434,ALSEBL,Alseis blackiana,high,4,4,4,4,4,4,3,4,4,4,3,3,2,3,2011;2012;2013;2014;2015;2016;2017;2018;2019,2011;2012;2013;2014;2015;2016;2017;2018;2019,2011,2018,Persistently infested,394.4629087881814,NA,3.3,NA,3,4,3,alive,1112,104.81,2024-12-06,523,64,3224,100,NA,NA,01320758,01320770,NA,NA,NA,Both,prehensile_branches,scrambling,adhesive_roots,scrambling,NA,NA,-79.8492924855986,9.15540748821494,completed,643.4,481,523,3224,803.320957028,0.609494739935,-79.8492924855986,9.15540748821494,-26.99240280511907,37.43905655690867,38.443704710434005,10.611,3.6491949559002723,2.5368663887187113,4.16507838404186,5.186121341409116,3.1463481418611177,0.6048064351532033,-0.5028468140391549,0.4563674680658896,-0.7844569429696644
ALBLAC_3135.txt,0.361014117468728,5.7116258090666e-4,NA,0.456299273295645,1.6741364326797e-4,NA,4.54,22.582,28.3756385000005,95.9280949425,10.791,ALBLAC_3135,3135,003135,3135,426.211569661879,ALSEBL,Alseis blackiana,high,1,4,3,3,4,3,4,4,4,4,4,NA,4,4,2011;2012;2013;2014;2015;2016;2017;2018;2019,2011;2012;2013;2014;2015;2016;2017;2018;2019,2011,2018,Persistently infested,424.7797004964179,NA,1.7,NA,1.6,4,5,alive,1103,85.97,2024-11-28,467,64,3124,90,NA,Many species present and lots of tendrils,NA,NA,NA,NA,NA,Both,NA,NA,NA,NA,NA,adhesive_roots,-79.8494843486753,9.1555418802026,completed,621.8,495.1,467,3124,794.832844062,0.639979274529,-79.8494843486753,9.1555418802026,-43.80657497343435,17.347917065861566,42.621156966187904,11.791,3.7523507723880836,2.3787124533815964,3.3455309777510567,4.563598899803313,3.1171531287583303,0.5298307602938768,-0.635197643629753,0.522141528651138,-0.6498166001637942
ALBLAC_3145.txt,0.329511013841386,0.00104042194376702,NA,0.337773211220738,5.0130991241994e-4,NA,4.42,18.623,16.4018299999998,40.2950967203333,11.702,ALBLAC_3145,3145,003145,3145,400.65470657305013,ALSEBL,Alseis blackiana,high,4,4,4,4,4,4,4,4,3,3,3,4,2,1,2011;2012;2013;2014;2015;2016;2017;2018;2019,2011;2012;2013;2014;2015;2016;2017;2018;2019,2011,2018,Persistently infested,401.0698241763323,NA,3.1,NA,3,4,4,alive,1098,106.99,2024-12-06,524,64,3123,100,NA,NA,NA,NA,NA,NA,NA,Lateral,NA,NA,NA,NA,NA,NA,-79.8493662121306,9.15535761767537,completed,635.5,475.2,524,3123,793.520818883,0.609601697024,-79.8493662121306,9.15535761767537,-22.410134365776685,28.851018947964235,40.06547065730501,6.921000000000001,3.690514882504227,2.4597597673660445,2.7973929139708105,3.696229792079669,2.924397375949369,0.46481420770741716,-0.7661175065548582,0.3716372227890244,-0.9898371080896423
