fid,sbpltnm,tag,species,quadrnt,tag6,lianas_2019,notes_2019,notes_2025,liana_tag_1,liana_tag_2,liana_tag_3,liana_tag_4,liana_tag_5,infestation_type,mode_l1,mode_l2,mode_l3,mode_l4,mode_l5,five_plus,x,y,priority
683,94,000359,Alseis blackiana,4717,000359,0,NA,NA,01470792,NA,NA,NA,NA,Direct,scrambling,prehensile_branches,adhesive_roots,adhesive_roots,NA,NA,-79.8465741745657,9.15404335101398,completed
131,94,000360,Quararibea asterolepis,4717,000360,0,NA,Crown not visible,NA,NA,NA,NA,NA,Both,scrambling,twining,twining,twining,NA,NA,-79.846584763906307,9.15407811205866,completed
134,94,000361,Quararibea asterolepis,4717,000361,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8465084035138,9.15404916270258,dead
70,94,000363,Poulsenia armata,4716,000363,0,NA,"Whole of crown not visible, lianas directly climbing up half of trunk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.846640303147,9.15402759746171,completed
758,94,000365,Guarea guidonia,4716,000365,0,NA,Very highly infested,40301,01470761,NA,NA,NA,Both,NA,NA,NA,NA,NA,twining,-79.8466444237192,9.15391282168666,completed
133,94,000366,Quararibea asterolepis,4716,000366,0,NA,Covered in lianas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8465274316282,9.153899624102,dead
757,94,000368,Guarea guidonia,4716,000368,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8465190223239,9.15398167177107,NA
569,92,000439,Hura crepitans,4705,000439,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8466226259393,9.15188236432545,NA
290,92,000441,Protium tenuifolium,4705,000441,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.846538668485,9.15193820572912,NA
4,92,000443,Heisteria concinna,4704,000443,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8467083382005,9.1518537320369,NA
372,92,000444,Tetragastris panamensis,4704,000444,20,NA,"I am almost certain this is the tree, however the tag was not visible due to foliage being in the way.",NA,NA,NA,NA,NA,Both,scrambling,adhesive_roots,scrambling,scrambling,scrambling,NA,-79.8466502286326,9.15174760862918,completed
130,92,000445,Quararibea asterolepis,4704,000445,0,NA,No direct infestation and crown not visible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8465722440861,9.15168783467012,completed
381,92,000446,Garcinia intermedia,4704,000446,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8465916669383,9.1517048116472,NA
603,92,000449,Spondias radlkoferi,4704,000449,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8465797180939,9.15180935604831,NA
276,92,000452,Heisteria concinna,4704,000452,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8466245088161,9.15185528417092,NA
570,92,000507,Hura crepitans,4604,000507,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8467637482597,9.15185750650416,NA
487,92,000508,Trichilia tuberculata,4604,000508,90,NA,90% sure it’s dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8468263649036,9.15176199737381,dead
143,92,000511,Sloanea terniflora,4604,000511,0,crown pratly broken,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8467403592619,9.15174808953387,NA
770,92,000512,Gustavia superba,4604,000512,0,NA,Not infested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8467401967049,9.15175260797305,completed
682,92,000513,Alseis blackiana,4604,000513,0,broken crown,Not infested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8467379895443,9.15178872616823,completed
216,92,000517,Trichilia tuberculata,4605,000517,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8467615784053,9.15204474353757,dead
129,92,000518,Quararibea asterolepis,4605,000518,0,NA,NA,NA,NA,NA,NA,NA,Lateral,NA,NA,NA,NA,NA,NA,-79.8467715146707,9.15197089396134,completed
576,92,000520,Luehea seemannii,4605,000520,100,NA,Very heavy infestation,01460256,01460258,01460235,01460250,01460244,Both,NA,NA,NA,NA,NA,twining,-79.8467688170299,9.15191921902627,completed
746,92,000521,Drypetes standleyi,4605,000521,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8467419562539,9.15190650317451,NA
568,92,000522,Hura crepitans,4605,000522,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8468300398654,9.15188790880739,NA
499,90,000524,Tetragastris panamensis,4606,000524,95,NA,NA,NA,NA,NA,NA,NA,Both,adhesive_roots,twining,NA,NA,NA,NA,-79.8468301135733,9.1521394728974,completed
622,90,000526,Tetragastris panamensis,4606,000526,100,NA,NA,01460296,01460298,01460297,NA,NA,Both,twining,tendrils,twining,adhesive_roots,twining,NA,-79.8467657052657,9.15210732795727,completed
291,94,000584,Protium tenuifolium,4616,000584,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8468201702691,9.15388738170458,NA
233,94,000588,Virola surinamensis,4616,000588,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8466744692416,9.15396365626275,NA
132,94,000591,Quararibea asterolepis,4616,000591,0,broken crown,Not infested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8467944783043,9.15386746779161,completed
313,94,000594,Trichilia tuberculata,4617,000594,5,NA,NA,01460690,NA,NA,NA,NA,Both,NA,NA,NA,NA,NA,adhesive_roots,-79.846792799353,9.15416783447201,completed
491,94,000596,Chrysophyllum argenteum,4617,000596,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8466792179339,9.15416109221619,NA
128,91,000612,Quararibea asterolepis,4620,000612,0,NA,NA,NA,NA,NA,NA,NA,Lateral,NA,NA,NA,NA,NA,NA,-79.8467415989751,9.15475691622474,completed
215,91,000614,Trichilia tuberculata,4620,000614,0,NA,Not infested except at base of trunk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8467045695208,9.15467235289996,completed
756,91,000618,Guarea guidonia,4620,000618,0,NA,NA,NA,NA,NA,NA,NA,Direct,NA,NA,NA,NA,NA,adhesive_roots,-79.8467391591508,9.15464733776095,completed
699,91,000620,Beilschmiedia pendula,4621,000620,0,NA,No direct infestation and crown not visible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8467560555629,9.15483615563365,completed
647,91,000626,Virola sebifera,4621,000626,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8466658907596,9.15481124072278,dead
69,91,000628,Poulsenia armata,4621,000628,0,broken crown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8467068800096,9.15481088428902,NA
93,91,000672,Protium tenuifolium,4521,000672,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8468522919428,9.15481875493451,NA
259,91,000673,Chrysophyllum cainito,4521,000673,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8468823040965,9.15484515620567,NA
