tag6,species,mode,infestation_type,climb_class
000359,Alseis blackiana,scrambling,Direct,Passive
000359,Alseis blackiana,prehensile_branches,Direct,Active
000359,Alseis blackiana,adhesive_roots,Direct,Passive
000360,Quararibea asterolepis,scrambling,Both,Passive
000360,Quararibea asterolepis,twining,Both,Active
000781,Quararibea asterolepis,scrambling,Both,Passive
000784,Quararibea asterolepis,scrambling,Both,Passive
000873,Alseis blackiana,twining,Direct,Active
000873,Alseis blackiana,adhesive_roots,Direct,Passive
001072,Quararibea asterolepis,twining,Both,Active
001076,Trichilia tuberculata,adhesive_roots,Both,Passive
001076,Trichilia tuberculata,scrambling,Both,Passive
001079,Gustavia superba,twining,Both,Active
001079,Gustavia superba,adhesive_roots,Both,Passive
001082,Alseis blackiana,adhesive_roots,Direct,Passive
001283,Alseis blackiana,adhesive_roots,Direct,Passive
001283,Alseis blackiana,scrambling,Direct,Passive
001718,Alseis blackiana,scrambling,Direct,Passive
001719,Gustavia superba,twining,Both,Active
001719,Gustavia superba,tendrils,Both,Active
001719,Gustavia superba,scrambling,Both,Passive
001773,Trichilia tuberculata,adhesive_roots,Both,Passive
001775,Alseis blackiana,adhesive_roots,Direct,Passive
001983,Quararibea asterolepis,scrambling,Both,Passive
001983,Quararibea asterolepis,twining,Both,Active
001985,Quararibea asterolepis,twining,Both,Active
001985,Quararibea asterolepis,scrambling,Both,Passive
002171,Alseis blackiana,prehensile_branches,Both,Active
002171,Alseis blackiana,adhesive_roots,Both,Passive
002342,Alseis blackiana,twining,Both,Active
002342,Alseis blackiana,tendrils,Both,Active
002342,Alseis blackiana,adhesive_roots,Both,Passive
002470,Alseis blackiana,tendrils,Both,Active
002470,Alseis blackiana,adhesive_roots,Both,Passive
002497,Alseis blackiana,twining,Both,Active
002497,Alseis blackiana,hooks,Both,Passive
002680,Alseis blackiana,twining,Both,Active
002680,Alseis blackiana,adhesive_roots,Both,Passive
002683,Trichilia tuberculata,twining,Both,Active
002693,Gustavia superba,twining,Both,Active
002841,Gustavia superba,scrambling,Both,Passive
002842,Trichilia tuberculata,twining,Both,Active
002842,Trichilia tuberculata,prehensile_branches,Both,Active
002845,Trichilia tuberculata,hooks,Both,Passive
002857,Trichilia tuberculata,twining,Both,Active
002857,Trichilia tuberculata,scrambling,Both,Passive
002860,Gustavia superba,adhesive_roots,Direct,Passive
003110,Alseis blackiana,adhesive_roots,Both,Passive
003111,Gustavia superba,twining,Both,Active
003111,Gustavia superba,adhesive_roots,Both,Passive
003119,Alseis blackiana,twining,Both,Active
003119,Alseis blackiana,scrambling,Both,Passive
003119,Alseis blackiana,adhesive_roots,Both,Passive
003120,Alseis blackiana,prehensile_branches,Both,Active
003120,Alseis blackiana,scrambling,Both,Passive
003120,Alseis blackiana,adhesive_roots,Both,Passive
003123,Gustavia superba,scrambling,Both,Passive
003123,Gustavia superba,adhesive_roots,Both,Passive
003131,Gustavia superba,twining,Both,Active
003131,Gustavia superba,scrambling,Both,Passive
003131,Gustavia superba,adhesive_roots,Both,Passive
003554,Alseis blackiana,prehensile_branches,Both,Active
003554,Alseis blackiana,tendrils,Both,Active
003554,Alseis blackiana,adhesive_roots,Both,Passive
003612,Alseis blackiana,adhesive_roots,Both,Passive
003612,Alseis blackiana,twining,Both,Active
003685,Gustavia superba,twining,Direct,Active
003731,Alseis blackiana,twining,Direct,Active
003731,Alseis blackiana,adhesive_roots,Direct,Passive
003731,Alseis blackiana,scrambling,Direct,Passive
004350,Prioria copaifera,prehensile_branches,Both,Active
004350,Prioria copaifera,scrambling,Both,Passive
004352,Quararibea asterolepis,twining,Both,Active
004352,Quararibea asterolepis,scrambling,Both,Passive
004352,Quararibea asterolepis,prehensile_branches,Both,Active
004358,Trichilia tuberculata,hooks,Direct,Passive
004358,Trichilia tuberculata,adhesive_roots,Direct,Passive
004521,Quararibea asterolepis,prehensile_branches,Direct,Active
004604,Trichilia tuberculata,prehensile_branches,Direct,Active
004604,Trichilia tuberculata,adhesive_roots,Direct,Passive
004611,Prioria copaifera,adhesive_roots,Direct,Passive
004652,Prioria copaifera,adhesive_roots,Direct,Passive
004978,Trichilia tuberculata,prehensile_branches,Both,Active
004978,Trichilia tuberculata,twining,Both,Active
004978,Trichilia tuberculata,adhesive_roots,Both,Passive
004979,Trichilia tuberculata,adhesive_roots,Both,Passive
004979,Trichilia tuberculata,twining,Both,Active
004979,Trichilia tuberculata,prehensile_branches,Both,Active
005215,Prioria copaifera,adhesive_roots,Both,Passive
005216,Trichilia tuberculata,scrambling,Both,Passive
005216,Trichilia tuberculata,twining,Both,Active
005216,Trichilia tuberculata,prehensile_branches,Both,Active
005219,Trichilia tuberculata,adhesive_roots,Both,Passive
005224,Trichilia tuberculata,twining,Both,Active
005317,Quararibea asterolepis,scrambling,Both,Passive
005539,Heisteria concinna,adhesive_roots,Both,Passive
005539,Heisteria concinna,prehensile_branches,Both,Active
005540,Alseis blackiana,adhesive_roots,Both,Passive
005632,Gustavia superba,twining,Both,Active
005632,Gustavia superba,adhesive_roots,Both,Passive
005636,Quararibea asterolepis,twining,Both,Active
005655,Prioria copaifera,prehensile_branches,Both,Active
005891,Alseis blackiana,adhesive_roots,Direct,Passive
005895,Alseis blackiana,adhesive_roots,Both,Passive
005895,Alseis blackiana,twining,Both,Active
005895,Alseis blackiana,tendrils,Both,Active
005943,Prioria copaifera,adhesive_roots,Both,Passive
