Model,term,Estimate,Std. Error,Q2.5,Q97.5,Significant,% Effect
H1 — Tree height,Intercept,1.73,0.0979,1.54,1.92,Yes,464
H1 — Tree height,log_dbh,0.423,0.0249,0.374,0.472,Yes,52.7
H1 — Tree height,H1_categoryLostlianas,-0.0508,0.0197,-0.0895,-0.0123,Yes,-4.95
H1 — Tree height,H1_categoryPersistentlyinfested,-0.117,0.0213,-0.159,-0.0754,Yes,-11
H1 — Crown depth,Intercept,1.31,0.184,0.955,1.68,Yes,272
H1 — Crown depth,log_dbh,0.364,0.0468,0.27,0.454,Yes,43.9
H1 — Crown depth,H1_categoryLostlianas,1.05e-4,0.046,-0.0897,0.0898,No,0.0105
H1 — Crown depth,H1_categoryPersistentlyinfested,-0.0556,0.046,-0.146,0.0337,No,-5.41
H1 — Crown projected area,Intercept,-1.29,0.353,-2,-0.607,Yes,-72.4
H1 — Crown projected area,log_dbh,1.53,0.0898,1.36,1.71,Yes,362
H1 — Crown projected area,H1_categoryLostlianas,-0.106,0.0715,-0.249,0.0345,No,-10.1
H1 — Crown projected area,H1_categoryPersistentlyinfested,-0.253,0.077,-0.406,-0.106,Yes,-22.3
H1 — Crown volume,Intercept,-0.745,0.501,-1.75,0.221,No,-52.5
H1 — Crown volume,log_dbh,1.76,0.128,1.52,2.02,Yes,484
H1 — Crown volume,H1_categoryLostlianas,-0.0773,0.102,-0.28,0.12,No,-7.44
H1 — Crown volume,H1_categoryPersistentlyinfested,-0.3,0.107,-0.514,-0.094,Yes,-25.9
H1 — Crown base height ratio,Intercept,-0.803,0.0531,-0.908,-0.7,Yes,-55.2
H1 — Crown base height ratio,H1_categoryLostlianas,-0.0405,0.0553,-0.149,0.0669,No,-3.97
H1 — Crown base height ratio,H1_categoryPersistentlyinfested,-0.0733,0.0594,-0.191,0.0422,No,-7.07
