Model,term,Estimate,Est.Error,Q2.5,Q97.5,sig,pct_effect,pct_low,pct_high
H2 TLS — Tree height,Intercept,1.8486,0.1057,1.6441,2.0575,TRUE,535.11,417.63,682.6
H2 TLS — Tree height,log_dbh,0.3895,0.0274,0.3354,0.4422,TRUE,47.62,39.85,55.61
H2 TLS — Tree height,H2_categorygainedinfestation,-0.0098,0.0179,-0.0448,0.0249,FALSE,-0.97,-4.38,2.52
H2 TLS — Crown depth,Intercept,1.3653,0.234,0.9074,1.8263,TRUE,291.71,147.79,521.11
H2 TLS — Crown depth,log_dbh,0.3501,0.0611,0.2303,0.4697,TRUE,41.93,25.9,59.96
H2 TLS — Crown depth,H2_categorygainedinfestation,0.0149,0.0404,-0.0635,0.0963,FALSE,1.51,-6.15,10.11
H2 TLS — Crown projected area,Intercept,-1.1353,0.3492,-1.8279,-0.4514,TRUE,-67.87,-83.93,-36.33
H2 TLS — Crown projected area,log_dbh,1.4843,0.0901,1.3061,1.6636,TRUE,341.19,269.17,427.83
H2 TLS — Crown projected area,H2_categorygainedinfestation,0.021,0.0583,-0.0942,0.1352,FALSE,2.12,-8.99,14.48
H2 TLS — Crown volume,Intercept,-0.4735,0.4883,-1.4206,0.4919,FALSE,-37.72,-75.84,63.54
H2 TLS — Crown volume,log_dbh,1.693,0.1262,1.4448,1.9373,TRUE,443.57,324.08,594.03
H2 TLS — Crown volume,H2_categorygainedinfestation,0.0299,0.0805,-0.1273,0.1889,FALSE,3.03,-11.96,20.79
H2 TLS — Slenderness (height/DBH),Intercept,-0.4736,0.0395,-0.5501,-0.3963,TRUE,-37.72,-42.31,-32.72
H2 TLS — Slenderness (height/DBH),H2_categorygainedinfestation,-0.0427,0.036,-0.1134,0.0273,FALSE,-4.18,-10.72,2.77
H2 TLS — Crown base height ratio,Intercept,-0.8056,0.047,-0.8996,-0.7165,TRUE,-55.32,-59.33,-51.15
H2 TLS — Crown base height ratio,H2_categorygainedinfestation,-0.0285,0.0488,-0.1244,0.067,FALSE,-2.81,-11.7,6.93
