species,n_Light (1-50%),n_Heavy (51-100%),pct_Light (1-50%),pct_Heavy (51-100%)
Casearia sylvestris,0,9,0,100
Poulsenia armata,0,8,0,100
Spondias radlkoferi,0,9,0,100
Hura crepitans,2,31,6.1,93.9
Apeiba membranacea,5,48,9.4,90.6
Chrysophyllum cainito,1,8,11.1,88.9
Guarea guidonia,1,8,11.1,88.9
Lindackeria laurina,1,8,11.1,88.9
Tachigali versicolor,2,16,11.1,88.9
Pouteria reticulata,5,20,20,80
Virola surinamensis,2,7,22.2,77.8
Beilschmiedia pendula,4,13,23.5,76.5
Luehea seemannii,2,6,25,75
Trichilia tuberculata,17,30,36.2,63.8
Guatteria dumetorum,4,7,36.4,63.6
Turpinia occidentalis,3,5,37.5,62.5
Alchornea costaricensis,4,5,44.4,55.6
Aspidosperma spruceanum,4,5,44.4,55.6
Alseis blackiana,53,66,44.5,55.5
Virola sebifera,8,9,47.1,52.9
Prioria copaifera,24,25,49,51
Gustavia superba,13,13,50,50
Astronium graveolens,5,4,55.6,44.4
Eugenia nesiotica,5,4,55.6,44.4
Ormosia macrocalyx,5,4,55.6,44.4
Tetragastris panamensis,35,25,58.3,41.7
Quararibea asterolepis,37,26,58.7,41.3
Heisteria concinna,15,10,60,40
Protium tenuifolium,11,7,61.1,38.9
Guapira standleyana,5,3,62.5,37.5
Guazuma ulmifolia,6,3,66.7,33.3
Eugenia oerstediana,18,6,75,25
Tabernaemontana arborea,16,1,94.1,5.9
Cecropia insignis,4,0,100,0
Dendropanax arboreus,9,0,100,0
Drypetes standleyi,5,0,100,0
Miconia argentea,6,0,100,0
Terminalia amazonia,7,0,100,0
Trattinnickia aspera,8,0,100,0
